Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Base_Link,-0.00540055531595463,1.14018744307801E-08,-0.0472939536295909,0,0,0,0.0379073230567376,1.71489467686952E-05,-1.58722839108417E-12,3.71285629314888E-07,1.69959085627179E-05,-1.05381885171089E-11,1.19739613396825E-06,0,0,0,0,0,0,package://finger_simple/meshes/Base_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://finger_simple/meshes/Base_Link.STL,,ACR1-S30x-1;LAF16-0x4D-act-1;LAF16-0x4D-1;LAF16-0x4D_br-1;finger_base-1;L_cover-2,C1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,-0.00267520233935296,2.35347478477874E-08,0.0159413302866395,0,0,0,0.00740116882112246,7.95722708764709E-07,-1.00049336907733E-12,7.77836106330981E-08,8.2274145135796E-07,-7.12445751328693E-13,2.25273936219034E-07,0,0,0,0,0,0,package://finger_simple/meshes/Link_1.STL,0.196078431372549,0.196078431372549,0.196078431372549,1,0,0,0,0,0,0,package://finger_simple/meshes/Link_1.STL,,case1-1;대칭 복사finger1-5;finger3-2;finger1-1,C1,Joint1,Joint_1,continuous,0,0,0,0,0,0,Base_Link,0,1,0,,,,,,,,,,,,
Link_2,0.00120264122104237,-2.07761524337197E-09,0.0145485812463042,0,0,0,0.00637809648256001,3.94393568439801E-07,1.28527836215816E-13,1.91479340462229E-08,3.81942951815594E-07,4.01039148559627E-13,2.05567768777208E-07,0,0,0,0,0,0,package://finger_simple/meshes/Link_2.STL,0.196078431372549,0.196078431372549,0.196078431372549,1,0,0,0,0,0,0,package://finger_simple/meshes/Link_2.STL,,case2-1;finger5-1;대칭 복사finger2-5;finger2-1,C2,Joint2,Joint_2,continuous,-0.00199999999993171,0,0.0270208058899968,0,0,0,Link_1,0,1,0,,,,,,,,,,,,
Link_3,0.000745764021458219,8.15397396024057E-09,0.0171920394522382,0,0,0,0.00721926688668683,3.63738815786361E-07,-5.11924626253722E-13,7.66987647482155E-09,4.03688215464812E-07,5.71478557526402E-13,2.551219014116E-07,0,0,0,0,0,0,package://finger_simple/meshes/Link_3.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://finger_simple/meshes/Link_3.STL,,f_silicon-3;case4-3;finger4-1,C3,Joint3,Joint_3,continuous,0,0,0.02332813779,0,0,0,Link_2,0,1,0,,,,,,,,,,,,
